Date,2330.TW,3443.TW,2002.TW,2317.TW,2731.TW,3687.TWO
2010-07-09,40.050758361816406,97.36931610107422,15.948720932006836,48.388099670410156,,
2010-07-12,39.65289306640625,97.36931610107422,15.948720932006836,48.58888244628906,,
2010-07-13,39.5202751159668,95.48959350585938,15.896346092224121,48.187320709228516,,
2010-07-14,40.050758361816406,96.24147033691406,16.001096725463867,49.59278106689453,,
2010-07-15,39.984439849853516,94.36177062988281,15.922533988952637,49.391998291015625,,
2010-07-16,39.719215393066406,95.1136474609375,15.817780494689941,48.388099670410156,,
2010-07-19,40.514915466308594,97.36931610107422,16.079666137695312,47.785762786865234,,
2010-07-20,40.780155181884766,96.61743927001953,16.184419631958008,47.98654556274414,,
2010-07-21,40.97908020019531,95.48959350585938,16.21060562133789,47.785762786865234,,
2010-07-22,41.111698150634766,94.36177062988281,16.47249412536621,47.785762786865234,,
2010-07-23,41.64216613769531,94.73771667480469,16.65580940246582,50.19512176513672,,
2010-07-26,41.509552001953125,94.36177062988281,16.922016143798828,51.80136489868164,,
2010-07-27,41.4432373046875,95.86553955078125,16.94998550415039,52.20293045043945,,
2010-07-28,41.7747917175293,95.48959350585938,16.894046783447266,52.604496002197266,,
2010-07-29,41.7747917175293,93.23393249511719,17.00592803955078,52.604496002197266,,
2010-07-30,41.37692642211914,92.48204803466797,16.977956771850586,51.80136489868164,,
2010-08-02,41.31062698364258,93.23393249511719,17.257659912109375,53.60839080810547,,
2010-08-03,41.111698150634766,93.9858169555664,17.45345115661621,54.612300872802734,,
2010-08-04,41.111698150634766,93.6098861694336,17.42548179626465,53.80916976928711,,
2010-08-05,41.04539108276367,92.85800170898438,17.397510528564453,53.80916976928711,,
2010-08-06,40.382301330566406,92.1061019897461,17.313596725463867,54.210723876953125,,
2010-08-09,40.24967575073242,95.86553955078125,17.369539260864258,54.612300872802734,,
2010-08-10,40.448612213134766,93.6098861694336,17.341569900512695,53.80916976928711,,
2010-08-11,40.448612213134766,92.48204803466797,17.341569900512695,52.604496002197266,,
2010-08-12,39.918128967285156,91.73016357421875,17.201719284057617,52.20293045043945,,
2010-08-13,39.85182189941406,93.23393249511719,17.285627365112305,52.40370178222656,,
2010-08-16,39.984439849853516,92.48204803466797,17.22968864440918,53.00605773925781,,
2010-08-17,39.65289306640625,92.85800170898438,17.117809295654297,52.805267333984375,,
2010-08-18,39.5202751159668,93.6098861694336,17.173749923706055,52.604496002197266,,
2010-08-19,39.85182189941406,95.1136474609375,17.201719284057617,54.210723876953125,,
2010-08-20,39.719215393066406,93.23393249511719,17.14577865600586,54.00994873046875,,
